Customer Number,Delivery ID,Customer Delv No.,Product Group,Bar Code,Box exists,Box code scanable
43002182,6020005998,BXFR24404,Alternator,4047025385855.0,Y,Y
43966648,6020005545,BXFR23974,Alternator,3165143619452.0,Y,Y
43010507,6020004853,BXFR23317,Starter,3165143982839.0,Y,Y
43966760,6020007387,BXFR25608,Starter,3165141025842.0,Y,Y
43965548,6020004574,BXFR23102,Alternator,4047024415034.0,Y,Y
43001515,6020007295,BXFR25534,Alternator,4047024414907.0,Y,Y
43002182,6020005998,BXFR24404,Starter,4047024614383.0,Y,Y
43952002,6020007277,BXFR25503,Starter,4047024413764.0,Y,Y
43968862,6020007341,BXFR25586,Starter,4047024413764.0,Y,Y
43132325,6020005535,BXFR23981,Alternator,3165143175620.0,Y,Y
43952126,6020005480,BXFR23924,Starter,4047024413764.0,Y,Y
43967213,6020007683,BXFR25857,Starter,3165143982839.0,Y,Y
43134681,6020007198,BXFR25448,Starter,3165141024968.0,Y,Y
43051976,6020004738,BXFR23170,Starter,4047024413764.0,Y,Y
43002182,6020007185,BXFR25385,Starter,0,Y,N
43007507,6020005085,BXFR23552,Starter,3165143131589.0,Y,Y
43959641,6020004838,BXFR23331,Alternator,3165143619452.0,Y,Y
43134685,6020007650,BXFR25822,Starter,4047024614383,Y,Y
43014269,6020007091,BXFR25306,Starter,4047024614383.0,Y,Y
43004586,6020007583,BXFR25725,Starter,4047024813311.0,Y,Y
43006634,6020006359,BXFR24735,Starter,4047025364584.0,Y,Y
43956307,6020006500,BXFR24843,Starter,3165143982839.0,Y,Y
43002182,6020005464,BXFR23882,Starter,4047024813311.0,Y,Y
43002182,6020005998,BXFR24404,Starter,4047024813632.0,Y,Y
43000798,6020004583,BXFR23094,Alternator,3165143872406.0,Y,Y
43140245,6020006526,BXFR24867,Alternator,4047024797574,Y,Y
43010507,6020007067,BXFR25277,Starter,0,Y,N
43963397,6020004485,BXFR23008,Alternator,4047024414907.0,Y,Y
43126916,6020007753,BXFR25893,Starter,4047024614383.0,Y,Y
43951616,6020007005,BXFR25294,Alternator,4047026091274.0,Y,Y
43101980,6020005482,BXFR23917,Starter,4047024413764.0,Y,Y
43051976,6020007870,BXFR25994,Starter,3165143131589.0,Y,Y
43001354,6020004584,BXFR23119,Starter,4047024614383.0,Y,Y
43140054,6020006478,BXFR24848,Alternator,4047025385855.0,Y,Y
43956373,6020004669,BXFR23205,Starter,3165141219999.0,Y,Y
43952002,6020007277,BXFR25503,Starter,4047024614383.0,Y,Y
43006652,6020005934,BXFR24291,Starter,3165143982839.0,Y,Y
43002005,6020007912,BXFR26031,Starter,4047024413764.0,Y,Y
43002182,6020005709,BXFR24113,Alternator,4047024414907.0,Y,Y
43140245,6020005891,BXFR24296,Starter,4047024614383.0,Y,Y
43966760,6020005327,BXFR23791,Starter,3165141024968.0,Y,Y
43140245,6020007377,BXFR25594,Alternator,3165143477496.0,Y,Y
43126469,6020007629,BXFR25811,Starter,4047024614376,Y,Y
43010507,6020007367,BXFR25499,Alternator,4047024666481.0,Y,Y
43952250,6020007273,BXFR25517,Starter,4047024413795,Y,Y
43952002,6020005733,BXFR24153,Alternator,4047024414907.0,Y,Y
43001024,6020007890,BXFR26021,Starter,4047024852778.0,Y,Y
43968862,6020007341,BXFR25586,Starter,3165141025842.0,Y,Y
43966760,6020007114,BXFR25394,Starter,4047024852778.0,Y,Y
43953463,6020007279,BXFR25527,Starter,3165141025842.0,Y,Y
43134168,6020005374,BXFR23766,Starter,3165143131589.0,Y,Y
43109855,6020006472,BXFR24829,Starter,3165141220001.0,Y,Y
43965908,6020005866,BXFR24281,Starter,4047024614383.0,Y,Y
43005979,6020006320,BXFR24726,Starter,3165141024968.0,Y,Y
43140055,6020006386,BXFR24758,Alternator,3165143872406.0,Y,Y
43051919,6020005262,BXFR23718,Alternator,4047025385855.0,Y,Y
43002182,6020007726,BXFR25868,Starter,4047024413764.0,Y,Y
43136436,6020004889,BXFR23341,Starter,0,Y,N
43137439,6020007014,BXFR25298,Starter,4047024413764.0,Y,Y
43969185,6020005994,BXFR24383,Starter,0,Y,N
43140245,6020007746,BXFR25903,Starter,3165141094978.0,Y,Y
43966760,6020005327,BXFR23791,Alternator,3165143619452.0,Y,Y
43037513,6020005165,BXFR23588,Alternator,4047024797796.0,Y,Y
43967213,6020007995,BXFR26095,Starter,4047024813311.0,Y,Y
43968862,6020007341,BXFR25586,Alternator,4047024611894.0,Y,Y
43965908,6020007088,BXFR25344,Alternator,3165143619452.0,Y,Y
43971909,6020007713,BXFR25844,Starter,4047024413764.0,Y,Y
43966760,6020007387,BXFR25608,Starter,4047024413771.0,Y,Y
43001836,6020006116,BXFR24452,Starter,4047024413764.0,Y,Y
43953463,6020006056,BXFR24446,Starter,4047024614383.0,Y,Y
43140245,6020007994,BXFR26107,Starter,3165143131589.0,Y,Y
43009033,6020005776,BXFR24201,Starter,4047024413764.0,Y,Y
43963393,6020004791,BXFR23292,Starter,4047024413764.0,Y,Y
43959786,6020005225,BXFR23665,Starter,3165141024968.0,Y,Y
43139844,6020007861,BXFR25983,Starter,4047024413788.0,Y,Y
43953495,6020005941,BXFR24366,Starter,3165143982815.0,Y,Y
43955327,6020005963,BXFR24343,Starter,4047024413764.0,Y,Y
43002182,6020005464,BXFR23882,Starter,4047024813311.0,Y,Y
43965908,6020004562,BXFR23093,Starter,4047024813366.0,Y,Y
43968862,6020006751,BXFR25099,Starter,3165141025842.0,Y,Y
43969865,6020007697,BXFR25826,Starter,4047024413764.0,Y,Y
3524,6020006654,BXFR24996,Starter,3165141220001.0,Y,Y
43140245,6020008090,BXFR26177,Starter,4047024813311.0,Y,Y
43960244,6020008017,BXFR26123,Starter,4047024413764.0,Y,Y
43967213,6020005839,BXFR24210,Starter,4047024813311.0,Y,Y
43132325,6020006238,BXFR24637,Alternator,4047024415034,Y,Y
43124625,6020007294,BXFR25541,Starter,3165141025842.0,Y,Y
3508,6020004587,BXFR23124,Starter,4047024614383.0,Y,Y
43962503,6020007296,BXFR25545,Alternator,3165143619452.0,Y,Y
43003251,6020005708,BXFR24131,Starter,3165143982815.0,Y,Y
43140373,6020007703,BXFR25840,Starter,4047024614383.0,Y,Y
43966728,6020005167,BXFR23628,Starter,4047024413788.0,Y,Y
43101980,6020007781,BXFR25916,Starter,3165141220001.0,Y,Y
43136841,6020006331,BXFR24646,Starter,3165141024968,Y,Y
43134360,6020007230,BXFR25474,Alternator,4047025385855,Y,Y
43960244,6020004819,BXFR23315,Starter,4047024413764.0,Y,Y
43027752,6020004846,BXFR23354,Alternator,0,Y,N
43126469,6020007362,BXFR25563,Starter,4047024614376.0,Y,Y
43140245,6020005445,BXFR23875,Starter,3165141025842.0,Y,Y
43006652,6020008044,BXFR26154,Alternator,4047024797574.0,Y,Y
618,6020006152,BXFR24567,Starter,3165143982839,Y,Y
43952007,6020006036,BXFR24442,Starter,4047024413764.0,Y,Y
43134685,6020004722,BXFR23243,Starter,4047024813311.0,Y,Y
43140245,6020004661,BXFR23171,Starter,3165143982839.0,Y,Y
43959641,6020005179,BXFR23604,Starter,3165143982839.0,Y,Y
43003261,6020005507,BXFR23947,Starter,4047024413764.0,Y,Y
43001392,6020005194,BXFR23646,Alternator,3165143619452.0,Y,Y
43953673,6020007666,BXFR24398,Starter,4047024413764.0,Y,Y
43966760,6020007387,BXFR25608,Alternator,4047024344242.0,Y,Y
43004667,6020007749,BXFR25911,Starter,4047024413764.0,Y,Y
43102332,6020005683,BXFR24115,Starter,3165143982839.0,Y,Y
43140055,6020007837,BXFR25973,Alternator,4047024806856.0,Y,Y
43002182,6020005709,BXFR24113,Starter,3165143131589.0,Y,Y
43140373,6020006522,BXFR24905,Starter,4047024413764,Y,Y
43965908,6020004562,BXFR23093,Alternator,3165143872475.0,Y,Y
43968862,6020004542,BXFR23083,Starter,3165143131589.0,Y,Y
43004351,6020006271,BXFR24642,Starter,4047025364584,Y,Y
43002005,6020005043,BXFR23506,Starter,4047024614383.0,Y,Y
43101980,6020006003,BXFR24400,Starter,4047024614383.0,Y,Y
43952007,6020006036,BXFR24442,Starter,4047024813366.0,Y,Y
43140245,6020007377,BXFR25594,Starter,4047024413764.0,Y,Y
43124625,6020007754,BXFR25914,Starter,3165141220001.0,Y,Y
43132325,6020007693,BXFR25849,Alternator,4047024638488.0,Y,Y
43010507,6020005233,BXFR23541,Starter,4047024413764.0,Y,Y
43007507,6020005275,BXFR23722,Starter,4047024413764.0,Y,Y
43959786,6020006767,BXFR25075,Alternator,3165143175620.0,Y,Y
43956277,6020005611,BXFR24023,Alternator,4047024344242.0,Y,Y
43968039,6020007911,BXFR26029,Alternator,3165143530078.0,Y,Y
43952203,6020007190,BXFR25446,Starter,4047024614383.0,Y,Y
43140245,6020007435,BXFR25648,Starter,4047024614390.0,Y,Y
43010507,6020006165,BXFR24477,Alternator,4047025385855,Y,Y
43965908,6020004562,BXFR23093,Starter,3165143536742.0,Y,Y
43126469,6020004535,BXFR23082,Alternator,4047025385855.0,Y,Y
43010507,6020007367,BXFR25499,Starter,4047024613775.0,Y,Y
43004586,6020005302,BXFR23745,Starter,4047024614383.0,Y,Y
43959641,6020004838,BXFR23331,Alternator,4047024414907.0,Y,Y
43952201,6020005748,BXFR24065,Starter,4047024413764.0,Y,Y
43134685,6020004571,BXFR23107,Starter,4047024614383.0,Y,Y
43952002,6020005397,BXFR23840,Starter,3165141229790.0,Y,Y
43140373,6020006522,BXFR24905,Starter,4047024813366,Y,Y
43959786,6020008075,BXFR26168,Alternator,4047024645745.0,Y,Y
43966760,6020004720,BXFR23245,Starter,4047024614390.0,Y,Y
43006652,6020007395,BXFR25616,Starter,4047024413795.0,Y,Y
43970990,6020005554,BXFR23986,Starter,4047024413795.0,Y,Y
43051919,6020006731,BXFR25079,Alternator,4047024666481.0,Y,Y
43967213,6020007366,BXFR25589,Starter,3165143131589.0,Y,Y
43968862,6020006134,BXFR24540,Alternator,4047024414860,Y,Y
43952126,6020007756,BXFR25902,Alternator,3165143619452.0,Y,Y
43124779,6020008064,BXFR26171,Starter,4047024813311.0,Y,Y
43109855,6020007384,BXFR25606,Starter,4047024413764.0,Y,Y
43012722,6020005357,BXFR23811,Alternator,4047024590472.0,Y,Y
43010507,6020007068,BXFR25246,Alternator,4047024348004.0,Y,Y
43137434,6020007728,BXFR25879,Starter,3165143131589.0,Y,Y
43012175,6020005293,BXFR23737,Starter,4047024413764.0,Y,Y
43952257,6020005222,BXFR23650,Starter,4047024614376.0,Y,Y
43950765,6020005978,BXFR24380,Alternator,4047024414907.0,Y,Y
43953334,6020006052,BXFR24432,Alternator,4047025385855.0,Y,Y
43012722,6020004730,BXFR23230,Alternator,4047024806856.0,Y,Y
43006652,6020004736,BXFR23248,Starter,3165141220001.0,Y,Y
43002005,6020005527,BXFR23950,Starter,4047024614383.0,Y,Y
43010507,6020006776,BXFR24969,Alternator,3165143619452.0,Y,Y
43132325,6020005108,BXFR23578,Starter,4047024813632.0,Y,Y
43002814,6020006354,BXFR24730,Alternator,3165143619452.0,Y,Y
43959641,6020007742,BXFR25889,Alternator,3165143175620.0,Y,Y
43140245,6020005175,BXFR23617,Starter,3165143982839.0,Y,Y
43003980,6020007818,BXFR25865,Alternator,4047024733664.0,Y,Y
43953463,6020005758,BXFR24199,Starter,4047024614383.0,Y,Y
43006652,6020005856,BXFR24252,Starter,4047024614390.0,Y,Y
43952254,6020006312,BXFR24692,Starter,4047024413788,Y,Y
43005979,6020008077,BXFR26151,Starter,3165141229790.0,Y,Y
43959641,6020004838,BXFR23331,Starter,4047024413764.0,Y,Y
43140245,6020006244,BXFR24639,Alternator,4047024414907,Y,Y
43966760,6020006480,BXFR24855,Starter,4047024614383.0,Y,Y
43027376,6020004649,BXFR23157,Starter,4047024614376.0,Y,Y
43003885,6020005959,BXFR24341,Starter,4047024413764.0,Y,Y
43952002,6020005511,BXFR23949,Starter,4047024614383.0,Y,Y
43965908,6020007925,BXFR25991,Alternator,3165143619452.0,Y,Y
43006652,6020005934,BXFR24291,Starter,3165143131589.0,Y,Y
43952253,6020005248,BXFR23683,Alternator,4047024344242.0,Y,Y
43124779,6020006110,BXFR24473,Alternator,3165143872406.0,Y,Y
43966389,6020004692,BXFR23197,Starter,4047024413764.0,Y,Y
43133663,6020007658,BXFR25818,Alternator,3165143619452,Y,Y
43140245,6020006145,BXFR24556,Alternator,4047024415065,Y,Y
43963520,6020005907,BXFR24311,Alternator,4047024809970.0,Y,Y
43968862,6020006134,BXFR24540,Starter,4047024614383,Y,Y
43963520,6020007056,BXFR25326,Starter,3165141024968.0,Y,Y
43963645,6020006406,BXFR24736,Alternator,0,Y,N
43967213,6020006378,BXFR24651,Starter,4047024674073.0,Y,Y
43140055,6020005735,BXFR24159,Alternator,3165143619452.0,Y,Y
3524,6020005581,BXFR23989,Starter,3165143131589.0,Y,Y
43953463,6020005758,BXFR24199,Alternator,4047024431157.0,Y,Y
43031597,6020005152,BXFR23602,Starter,4047024413764.0,Y,Y
43004542,6020005136,BXFR23586,Starter,4047024813366.0,Y,Y
43137091,6020007927,BXFR26045,Alternator,4047024809970.0,Y,Y
43134180,6020005981,BXFR24352,Starter,4047024614383.0,Y,Y
43031597,6020007895,BXFR26024,Starter,4047024614383.0,Y,Y
43001905,6020005170,BXFR23637,Starter,4047025364584.0,Y,Y
43965908,6020007925,BXFR25991,Starter,4047024413764.0,Y,Y
43967213,6020007366,BXFR25589,Starter,4047024813311.0,Y,Y
43136841,6020006702,BXFR25048,Starter,4047024836839.0,Y,Y
43126912,6020006473,BXFR24838,Starter,4047024413801.0,Y,Y
43953673,6020005072,BXFR23531,Starter,4047024413788.0,Y,Y
43963520,6020007725,BXFR25875,Alternator,3165143619452.0,Y,Y
43012722,6020006981,BXFR25248,Alternator,4047024414907.0,Y,Y
43961506,6020007873,BXFR25996,Alternator,4047024733664.0,Y,Y
43960244,6020007182,BXFR25444,Starter,3165143131589.0,Y,Y
43959286,6020007337,BXFR25529,Starter,4047024413764.0,Y,Y
43011164,6020005151,BXFR23606,Starter,3165141219999.0,Y,Y
43140055,6020005579,BXFR24004,Alternator,4047025385855.0,Y,Y
43010673,6020007694,BXFR25841,Starter,4047024413764.0,Y,Y
43952002,6020005397,BXFR23840,Starter,3165143309520.0,Y,Y
43965908,6020005866,BXFR24281,Starter,4047024590502.0,Y,Y
43010673,6020007694,BXFR25841,Starter,4047023127563.0,Y,Y
43012722,6020005069,BXFR23536,Starter,4047024413764.0,Y,Y
43004351,6020007223,BXFR25353,Starter,4047024413764.0,Y,Y
43953673,6020007666,BXFR24398,Starter,3165141024968.0,Y,Y
43968039,6020006521,BXFR24904,Starter,4047024413764,Y,Y
43968603,6020006229,BXFR24630,Starter,3165141094978,Y,Y
43959786,6020007038,BXFR25288,Starter,4047024413764.0,Y,Y
43968862,6020004542,BXFR23083,Starter,3165141025842.0,Y,Y
43967213,6020007366,BXFR25589,Starter,4047024613744.0,Y,Y
43140245,6020007377,BXFR25594,Starter,3165141024968.0,Y,Y
43140245,6020005613,BXFR24053,Starter,4047024614383.0,Y,Y
43014269,6020005097,BXFR23511,Starter,4047025364584.0,Y,Y
43027752,6020005424,BXFR23854,Alternator,4047025318006.0,Y,Y
43963619,6020006961,BXFR25240,Alternator,4047024415034.0,Y,Y
43959786,6020007812,BXFR25877,Alternator,3165143530078.0,Y,Y
43129765,6020005626,BXFR24034,Starter,3165141094978.0,Y,Y
43953463,6020005381,BXFR23844,Starter,4047024413764.0,Y,Y
43011164,6020007828,BXFR25963,Alternator,4047025385855.0,Y,Y
43952007,6020005315,BXFR23771,Starter,3165143982839.0,Y,Y
43012722,6020005069,BXFR23536,Starter,4047024413764.0,Y,Y
43967213,6020006378,BXFR24651,Alternator,4047024611894.0,Y,Y
43956277,6020006113,BXFR24494,Starter,4047024614390.0,Y,Y
43953093,6020006371,BXFR24745,Starter,4047024614383.0,Y,Y
43955100,6020005952,BXFR24382,Starter,4047024177857.0,Y,Y
43010507,6020005659,BXFR23908,Starter,3165143982839.0,Y,Y
43966760,6020004720,BXFR23245,Starter,4047024413795.0,Y,Y
43970990,6020007049,BXFR25275,Starter,3165143982815.0,Y,Y
43129765,6020006790,BXFR25071,Starter,4047024413795.0,Y,Y
43140245,6020005175,BXFR23617,Starter,4047024413764.0,Y,Y
43137434,6020005266,BXFR23697,Starter,3165143131589.0,Y,Y
43027376,6020006667,BXFR25002,Starter,3165141024968.0,Y,Y
43010507,6020004481,BXFR22960,Starter,3165141024968.0,Y,Y
43965908,6020007088,BXFR25344,Starter,3165141025842.0,Y,Y
43970328,6020005724,BXFR24154,Starter,4047024813311.0,Y,Y
43968039,6020006754,BXFR25069,Starter,3165143982839.0,Y,Y
43965908,6020007925,BXFR25991,Starter,4047023204691.0,Y,Y
43140055,6020006955,BXFR25209,Starter,4047024813311.0,Y,Y
43953463,6020006056,BXFR24446,Starter,3165144055853,Y,Y
43014269,6020005854,BXFR24250,Starter,4047024413764.0,Y,Y
43970990,6020007333,BXFR25535,Starter,4047024809925.0,Y,Y
43956307,6020006500,BXFR24843,Starter,4047024614383.0,Y,Y
43952127,6020007166,BXFR25422,Starter,4047024614383.0,Y,Y
43968039,6020005211,BXFR23671,Starter,3165141220001.0,Y,Y
43952945,6020006444,BXFR24804,Alternator,3165143619452.0,Y,Y
43968862,6020006751,BXFR25099,Alternator,4047025385855.0,Y,Y
43129765,6020005626,BXFR24034,Alternator,3165143872475.0,Y,Y
43002932,6020005450,BXFR23899,Starter,3165143131589.0,Y,Y
43140245,6020005804,BXFR24232,Starter,4047024413764.0,Y,Y
43950717,6020006219,BXFR24627,Alternator,3165144046134,Y,Y
43953463,6020007128,BXFR25384,Alternator,3165143619452.0,Y,Y
43965908,6020007088,BXFR25344,Starter,4047024413764.0,Y,Y
43134180,6020006308,BXFR24631,Starter,4047024614383,Y,Y
43966728,6020007132,BXFR25378,Starter,4047024413764.0,Y,Y
43001024,6020007122,BXFR25391,Starter,3165141024968.0,Y,Y
43952805,6020005196,BXFR23647,Starter,3165143982778.0,Y,Y
43006652,6020004904,BXFR23357,Starter,0,Y,N
43963520,6020006557,BXFR24856,Starter,4047024614383.0,Y,Y
43968862,6020006134,BXFR24540,Starter,3165143131589,Y,Y
43952002,6020004682,BXFR23221,Starter,4047024413764.0,Y,Y
43134685,6020006240,BXFR24648,Starter,3165144055853,Y,Y
43001836,6020005522,BXFR23929,Starter,4047024413788.0,Y,Y
43005979,6020007231,BXFR25484,Alternator,4047025405584,Y,Y
43004667,6020005062,BXFR23538,Starter,3165141220001.0,Y,Y
43134162,6020007793,BXFR25956,Alternator,4047025385855.0,Y,Y
43971909,6020006845,BXFR25151,Starter,4047024413764,Y,Y
43952002,6020007419,BXFR25649,Starter,4047024413764.0,Y,Y
43140054,6020004826,BXFR23304,Starter,3165143982839.0,Y,Y
43134166,6020006657,BXFR25000,Alternator,4047026091274.0,Y,Y
43968862,6020007341,BXFR25586,Starter,4047024813366.0,Y,Y
43952126,6020006614,BXFR24967,Starter,3165141024968.0,Y,Y
43953463,6020006267,BXFR24658,Starter,4047024413801,Y,Y
43953463,6020005219,BXFR23685,Alternator,4047025385855.0,Y,Y
43002182,6020005709,BXFR24113,Alternator,4047024414907.0,Y,Y
43007731,6020005621,BXFR24055,Alternator,4047024837478.0,Y,Y
43966389,6020007872,BXFR25997,Starter,4047024413764.0,Y,Y
43051919,6020007981,BXFR26115,Starter,4047024813311.0,Y,Y
43956307,6020004844,BXFR23337,Alternator,4047024414860.0,Y,Y
43006652,6020008044,BXFR26154,Starter,3165143982839.0,Y,Y
43126916,6020005187,BXFR23627,Alternator,3165143175521.0,Y,Y
43001354,6020005642,BXFR24077,Starter,4047024614383.0,Y,Y
43002814,6020007320,BXFR25520,Starter,4047024813311.0,Y,Y
43988996,6020007236,BXFR25480,Alternator,3165143530078.0,Y,Y
43012175,6020006937,BXFR25237,Starter,3165141025842.0,Y,Y
43140245,6020007158,BXFR25399,Starter,3165143131589.0,Y,Y
43966650,6020005465,BXFR23903,Alternator,4047026091274.0,Y,Y
43011164,6020006833,BXFR25166,Starter,4047024813311,Y,Y
43002814,6020005168,BXFR23595,Starter,4047024413764.0,Y,Y
43007507,6020007161,BXFR25369,Starter,4047024813632.0,Y,Y
43109855,6020005612,BXFR24022,Alternator,4047024806856.0,Y,Y
43968122,6020006462,BXFR24823,Starter,4047024614383.0,Y,Y
43140054,6020007990,BXFR26114,Alternator,4047026091274.0,Y,Y
43965908,6020006147,BXFR24524,Starter,4047024604414,Y,Y
43140245,6020004575,BXFR23105,Alternator,4047024414891.0,Y,Y
43010507,6020006605,BXFR24910,Starter,4047024413788.0,Y,Y
43002182,6020007407,BXFR25627,Alternator,4047026096545.0,Y,Y
43952203,6020004834,BXFR23329,Starter,3165143982839.0,Y,Y
43953463,6020007624,BXFR25830,Starter,4047024413764,Y,Y
43140245,6020005445,BXFR23875,Starter,3165143131589.0,Y,Y
43002814,6020007320,BXFR25520,Starter,4047024413795.0,Y,Y
43959641,6020005429,BXFR23858,Starter,3165143131589.0,Y,Y
43956307,6020006500,BXFR24843,Starter,3165141025842.0,Y,Y
43952254,6020004532,BXFR23065,Starter,4047024413764.0,Y,Y
43010507,6020007673,BXFR25799,Starter,3165141094978.0,Y,Y
43140055,6020006955,BXFR25209,Starter,3165143982815.0,Y,Y
43953673,6020005717,BXFR24140,Starter,4047024813311.0,Y,Y
43001354,6020004584,BXFR23119,Alternator,3165143619452.0,Y,Y
43010507,6020007220,BXFR25334,Alternator,4047024797574.0,Y,Y
43961006,6020007339,BXFR25569,Starter,4047024813366.0,Y,Y
43952007,6020004874,BXFR23370,Starter,3165141025842.0,Y,Y
43131052,6020005169,BXFR23607,Starter,3165143982839.0,Y,Y
43126469,6020006916,BXFR25227,Starter,4047024614383.0,Y,Y
43134542,6020005265,BXFR23693,Starter,4047024413764.0,Y,Y
43001024,6020007122,BXFR25391,Alternator,4047024344242.0,Y,Y
43010507,6020005388,BXFR23725,Alternator,3165143619452.0,Y,Y
43967213,6020004685,BXFR23200,Starter,4047024614383.0,Y,Y
43005979,6020006066,BXFR24468,Starter,4047024813632.0,Y,Y
43011164,6020006833,BXFR25166,Alternator,4047025385855,Y,Y
43952007,6020005803,BXFR24241,Alternator,3165143619452.0,Y,Y
43961506,6020005438,BXFR23871,Starter,4047024614383.0,Y,Y
43966648,6020005909,BXFR24321,Starter,4047024413764.0,Y,Y
43140245,6020006803,BXFR25130,Starter,4047024813311.0,Y,Y
43006652,6020005934,BXFR24291,Starter,3165143131589.0,Y,Y
43002814,6020007974,BXFR26086,Starter,4047024614383.0,Y,Y
43002182,6020007407,BXFR25627,Alternator,4047025385855.0,Y,Y
43124779,6020007315,BXFR25537,Starter,4047024413764.0,Y,Y
43126916,6020005957,BXFR24346,Starter,4047024614383.0,Y,Y
1353,6020004662,BXFR23183,Alternator,3165143619452.0,Y,Y
43952131,6020008102,BXFR26180,Starter,3165143131589.0,Y,Y
43952250,6020004514,BXFR23035,Alternator,3165143619452.0,Y,Y
43952002,6020007189,BXFR25452,Starter,4047024614383.0,Y,Y
3524,6020004818,BXFR23326,Alternator,3165143619452.0,Y,Y
43010507,6020005388,BXFR23725,Starter,4047024614383.0,Y,Y
43134542,6020008067,BXFR26156,Starter,3165143982839.0,Y,Y
43953360,6020005943,BXFR24349,Starter,3165143131589.0,Y,Y
43131052,6020007584,BXFR25724,Alternator,3165143619452.0,Y,Y
43952203,6020007679,BXFR25858,Starter,4047024614376.0,Y,Y
43136958,6020007179,BXFR25418,Starter,4047024614390.0,Y,Y
43953463,6020006884,BXFR25205,Starter,4047024813311,Y,Y
43140245,6020006073,BXFR24460,Starter,4047024614383,Y,Y
43012722,6020004730,BXFR23230,Starter,3165141220001.0,Y,Y
43966760,6020005772,BXFR24220,Starter,4047024604414.0,Y,Y
43952199,6020007940,BXFR26066,Starter,4047024813366.0,Y,Y
43963619,6020007577,BXFR25744,Starter,4047024813366.0,Y,Y
43952002,6020006938,BXFR25234,Alternator,4047024733664.0,Y,Y
43003668,6020004686,BXFR23189,Alternator,4047024414860.0,Y,Y
43140245,6020007377,BXFR25594,Starter,4047024413764.0,Y,Y
43952002,6020006067,BXFR24469,Alternator,3165143872406,Y,Y
43961506,6020006188,BXFR24531,Starter,4047025364584,Y,Y
43969395,6020004742,BXFR23255,Starter,3165143982839.0,Y,Y
43002182,6020005464,BXFR23882,Alternator,4047024415003.0,Y,Y
43966760,6020007387,BXFR25608,Alternator,4047025569712.0,Y,Y
43132325,6020004681,BXFR23222,Starter,4047024413788.0,Y,Y
43010507,6020006167,BXFR24555,Starter,3165141220001,Y,Y
